tx_id,client_id,industry,timestamp,data_size_kb,encryption_algorithm,encryption_success,tps,tx_integrity,block_hash,prev_hash,tamper_detected
2139a0d7-6efc-46a2-aa6e-9a912ee45d3c,CLIENT_164,Banking,2025-01-13 23:17,269.36,AES-256,True,6479.3,1,dd0d8e799c90c33a806a76abe73e188785a9ed0874073be5d59cf6624c5e5890,2ce6688db3beba1b930e6870c044bc1a9ddf6c31564286dde2587e1713324a81,False
7cf191f4-babf-4880-8e98-8fb4bf0f9dce,CLIENT_058,Healthcare,2025-02-22 21:47,112.06,ChaCha20,True,6464.9,1,ea8dd09a5f91b5faa638979e81d935ebfaf73ef81e9a0ec9995c573bcd4f6f3e,236c4241a08e94fde275a637b5de4f5b019b84ef2858fde69468c9cc529b18b5,False
8eb93e77-8a7b-450b-a956-a8b217a01df1,CLIENT_023,IT,2025-01-17 00:05,987.38,AES-256,True,6615.1,1,78dd12ecede2e86d0db0b7c5175c996f77cbbe93c2985e8f7d9fd96f751d9707,790b8de444568f1f83aaf49af1c8ebbf543618b54b026929c13808cc65ea82db,False
b77d8859-62e3-4cbb-93f6-34f4e585e1cb,CLIENT_060,Banking,2025-10-15 06:45,84.49,ChaCha20,True,6581.4,1,7517de39730f38c6cff46c667946a3c8fedba348c55067065c3d580972eb6656,8bcf4548757b835f6e6555a2e17d2791c27241d1219cc63a7695184c1637f947,False
115a83c7-5704-446c-a4c4-02de9bab1a5b,CLIENT_180,IT,2025-04-23 14:37,198.41,RSA-2048,True,6213.0,1,cb014a707bc2ee8c4c2cbbfeeb8fbf773151ab4a5b54ac32b31bd387e5790468,96b7fd60e92afe4efc6857ca3aa2b39c70f4f20ad056ab7a03bfd76b47b62f29,False
c687f890-8cf2-4a78-9b73-73e1ba78b849,CLIENT_002,Healthcare,2025-12-24 13:21,44.02,RSA-2048,True,6547.1,1,f1016df0a8ca0ff047c6d64758945dc56c12cb7f4a48e0cbc38c746f72e0ce81,761b6ba343cce90cf04e0a01ff6fbda822ce249d3852931e1a4c93a9318587b1,False
a683bfa9-e8f9-42c1-add5-70c39f82deeb,CLIENT_040,Healthcare,2025-06-22 03:05,861.59,RSA-2048,True,6466.1,1,98b1f764fdd18ba6302e770543e2196301301254c4ec8bde3cf19364b2579c67,4f46fbac913befe24db9de2bae7ddd983e1c0c8125cb37582785f47534701874,False
4fa500f2-c502-498a-b22b-d5e88d6995d6,CLIENT_025,Government,2025-06-26 19:16,77.23,AES-256,True,6516.6,1,6c7dd7bf38b6a1b20bb847678ada5f258bac93a6ae6093610ef66eba3a409d13,c1b063549abc3ee11f342db257e6094891edaeb8072dba53b1e882deb0a8a529,False
1223df48-8504-4702-b648-8bb6c30eb16d,CLIENT_187,IT,2025-10-02 03:59,72.19,RSA-2048,True,6456.2,1,83a4513268d116a7922ab43090dd80027b2810689925a695a381cac95745f078,759cbd6eaeebc6360d632f96cfe50cade10be8f5e5ba351e5d930b358b3926b7,False
b5b4b93d-1e21-4341-9a3e-f883e7513028,CLIENT_021,Government,2025-11-18 19:56,146.03,RSA-2048,True,6341.3,1,036601bd9f3a42da84ab74968030382bc675a82118fd2f10c31692c1a6057117,0053bea11b6d86b60117902a8de6773ee6dab2423f03ddbe369aff2623cf6923,False
24fcc810-823d-423b-888e-573f3e8ada9e,CLIENT_148,Healthcare,2025-12-27 02:02,398.24,ChaCha20,True,6316.9,1,eebe4a5519965f64f77fb35813ef0bd8312e7707c9faeaaaf1ee85f7c7dbf2f1,d0750f157e3c0af28d38f1f4790d3f31586a6d3e07e7d308dd805c9a741c12ab,False
c37ad134-9762-4f1f-9791-6288b1e50ba4,CLIENT_059,Government,2025-02-10 07:55,30.15,AES-256,True,6529.5,1,9f39f9d77342ea535cb62f93ea5ca348265e7be0aa665a67a90b333092f56b9d,161056c5641f3d682bc9e80e9f7b96b0192d9a20956665f650b9b866b281b8f5,False
